"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"8278",19976,"USES",14414,22736,8.322
"8279",19978,"USES",48973,50062,1.089
"8280",19980,"USES",22321,24023,1.702
"8281",19982,"USES",11038,12134,1.096
"8282",19984,"USES",10813,12140,1.327
"8283",19986,"USES",7089,10569,3.48
"8284",19989,"USES",5841,11029,5.188
"8285",19991,"USES",5866,10274,4.408
"8286",19993,"USES",43191,44453,1.262
"8287",19997,"USES",17513,18889,1.376
"8288",19999,"USES",23011,24746,1.735
"8289",20001,"USES",38888,40078,1.19
"8290",20003,"USES",52419,56595,4.176
"8291",20007,"USES",226828,227794,0.966
"8292",20009,"USES",312122,313605,1.483
"8293",20011,"USES",506751,508140,1.389
"8294",20013,"USES",256953,257810,0.857
"8295",20015,"USES",152061,161296,9.235
"8296",20017,"USES",15810,18472,2.662
"8297",20019,"USES",154102,155070,0.968
"8298",20021,"USES",1120858,1122826,1.968
"8299",20023,"USES",134361,138408,4.047
"8300",20025,"USES",20692,21768,1.076
"8301",20028,"USES",1325378,1327522,2.144
"8302",20030,"USES",154769,155977,1.208
"8303",20033,"USES",201754,203624,1.87
"8304",20036,"USES",3651,6076,2.425
"8305",20038,"USES",29495,30919,1.424
"8306",20041,"USES",26030,28613,2.583
"8307",20043,"USES",421779,423002,1.223
"8308",20046,"USES",641820,653914,12.094
"8309",20048,"USES",14473,16455,1.982
"8310",20050,"USES",15102,16416,1.314
"8311",20054,"USES",27137,29137,2
"8312",20065,"USES",13947,16572,2.625
"8313",20067,"USES",7258,9178,1.92
"8314",20069,"USES",52407,53836,1.429
"8315",20071,"USES",130985,132172,1.187
"8316",20073,"USES",64380,66113,1.733
"8317",20075,"USES",72266,73352,1.086
"8318",20077,"USES",13615,16757,3.142
"8319",20079,"USES",355828,356917,1.089
"8320",20081,"USES",5272,8193,2.921
"8321",20084,"USES",21877,22928,1.051
"8322",20086,"USES",27072,28237,1.165
"8323",20088,"USES",27328,30715,3.387
"8324",20090,"USES",26477,28606,2.129
"8325",20092,"USES",9209,11030,1.821
"8326",20095,"USES",326502,327683,1.181
"8327",20099,"USES",31429,32611,1.182
"8328",20103,"USES",1900048,1902777,2.729
"8329",20105,"USES",14227,15043,0.816
"8330",20107,"USES",866758,867869,1.111
