"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"1",2,"USES",4472,6321,1.849
"2",4,"USES",312295,312775,0.48
"3",7,"USES",6048,6838,0.79
"4",9,"USES",16572,17704,1.132
"5",11,"USES",9315,11024,1.709
"6",13,"USES",43515,44548,1.033
"7",15,"USES",4100,4886,0.786
"8",17,"USES",3052,3925,0.873
"9",22,"USES",85206,87137,1.931
"10",25,"USES",136332,137013,0.681
"11",27,"USES",42448,43435,0.987
"12",29,"USES",58281,59203,0.922
"13",32,"USES",357970,358925,0.955
"14",35,"USES",30425,31149,0.724
"15",38,"USES",9624,11392,1.768
"16",40,"USES",7676,9158,1.482
"17",43,"USES",62386,63069,0.683
"18",45,"USES",19857,20650,0.793
"19",48,"USES",177034,177580,0.546
"20",51,"USES",4744,5598,0.854
"21",53,"USES",41193,42095,0.902
"22",56,"USES",12006,12805,0.799
"23",59,"USES",2796,3628,0.832
"24",62,"USES",33588,34386,0.798
"25",64,"USES",8881,10042,1.161
"26",67,"USES",7177,8312,1.135
"27",69,"USES",1911,2694,0.783
"28",72,"USES",4715,6014,1.299
"29",74,"USES",57088,57904,0.816
"30",76,"USES",102714,104735,2.021
"31",78,"USES",165649,167621,1.972
"32",80,"USES",13165,16273,3.108
"33",82,"USES",668952,674206,5.254
"34",84,"USES",136950,137471,0.521
"35",86,"USES",2455,3516,1.061
"36",88,"USES",10435,17978,7.543
"37",90,"USES",1777,2379,0.602
"38",92,"USES",60377,62508,2.131
"39",95,"USES",984501,985112,0.611
"40",97,"USES",179330,179860,0.53
"41",99,"USES",306601,307590,0.989
"42",101,"USES",589267,589883,0.616
"43",103,"USES",1710763,1711738,0.975
"44",108,"USES",122834,123595,0.761
"45",110,"USES",256216,257036,0.82
"46",112,"USES",355480,356104,0.624
"47",118,"USES",184014,185106,1.092
"48",121,"USES",941838,942812,0.974
"49",123,"USES",231931,233674,1.743
"50",125,"USES",39685,40166,0.481
"51",128,"USES",4321,5003,0.682
"52",131,"USES",27224,27822,0.598
"53",134,"USES",12628,13144,0.516
"54",136,"USES",22759,23324,0.565
"55",139,"USES",222973,223622,0.649
"56",141,"USES",146823,147264,0.441
"57",143,"USES",45836,46803,0.967
"58",145,"USES",3621,4915,1.294
"59",147,"USES",29697,30145,0.448
"60",149,"USES",21986,22746,0.76
"61",151,"USES",88599,89203,0.604
"62",153,"USES",4725,5740,1.015
"63",155,"USES",92179,93242,1.063
"64",157,"USES",212045,213732,1.687
"65",159,"USES",11874,12668,0.794
"66",161,"USES",19957,21099,1.142
"67",163,"USES",130640,132377,1.737
"68",165,"USES",207837,208424,0.587
"69",167,"USES",86680,87398,0.718
"70",169,"USES",187330,188225,0.895
"71",171,"USES",397227,397991,0.764
"72",173,"USES",295199,297294,2.095
"73",175,"USES",15181,16107,0.926
"74",177,"USES",19310,19849,0.539
"75",179,"USES",17152,17798,0.646
"76",181,"USES",247689,248672,0.983
"77",183,"USES",27345,28954,1.609
"78",185,"USES",84693,85902,1.209
"79",187,"USES",30280,31437,1.157
"80",189,"USES",83313,84984,1.671
"81",191,"USES",23066,23781,0.715
"82",194,"USES",334119,334844,0.725
"83",196,"USES",28772,29356,0.584
"84",198,"USES",375128,375886,0.758
"85",200,"USES",100890,101854,0.964
"86",202,"USES",21267,21952,0.685
"87",204,"USES",62444,63329,0.885
"88",206,"USES",154872,156034,1.162
"89",208,"USES",33269,34018,0.749
"90",210,"USES",656328,657233,0.905
"91",213,"USES",2160,2786,0.626
"92",215,"USES",10328,10787,0.459
"93",217,"USES",358513,360486,1.973
"94",219,"USES",6936,7596,0.66
"95",221,"USES",48559,49072,0.513
"96",223,"USES",79686,80878,1.192
"97",225,"USES",130292,131034,0.742
"98",227,"USES",28818,29359,0.541
"99",229,"USES",221742,222749,1.007
"100",231,"USES",16062,16637,0.575
"101",234,"USES",5663,6659,0.996
"102",239,"USES",40058,40625,0.567
"103",242,"USES",38755,39287,0.532
"104",244,"USES",8687,10371,1.684
"105",246,"USES",11331,12636,1.305
"106",248,"USES",753986,755841,1.855
"107",250,"USES",221638,223187,1.549
"108",252,"USES",4199,5766,1.567
"109",256,"USES",120590,122970,2.38
"110",259,"USES",4103,4834,0.731
"111",262,"USES",4002,5737,1.735
"112",264,"USES",28617,29401,0.784
"113",266,"USES",138967,140726,1.759
"114",268,"USES",13557,16004,2.447
"115",270,"USES",26151,27876,1.725
"116",273,"USES",13092,13984,0.892
"117",276,"USES",218761,219593,0.832
"118",278,"USES",11140,12225,1.085
"119",280,"USES",14271,15307,1.036
"120",282,"USES",7950,8766,0.816
"121",284,"USES",36053,36575,0.522
"122",286,"USES",583999,584936,0.937
"123",288,"USES",157335,158052,0.717
"124",290,"USES",4482,5137,0.655
"125",292,"USES",169105,170240,1.135
"126",294,"USES",94635,95590,0.955
"127",296,"USES",102063,103470,1.407
"128",298,"USES",54619,55308,0.689
"129",301,"USES",76231,76646,0.415
"130",303,"USES",41511,42169,0.658
"131",305,"USES",118648,119089,0.441
"132",307,"USES",76169,76812,0.643
"133",309,"USES",460244,461638,1.394
"134",311,"USES",55398,56681,1.283
"135",313,"USES",188924,189479,0.555
"136",315,"USES",64411,65315,0.904
"137",317,"USES",171434,172135,0.701
"138",319,"USES",8954,9990,1.036
"139",321,"USES",8667,9344,0.677
"140",323,"USES",34347,34899,0.552
"141",325,"USES",10559,11412,0.853
