"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"1",2,"USES",80122,80975,0.853
"2",4,"USES",6893,7896,1.003
"3",6,"USES",19645,20377,0.732
"4",8,"USES",15090,15814,0.724
"5",11,"USES",53198,54176,0.978
"6",17,"USES",6480,7103,0.623
"7",19,"USES",16141,17025,0.884
"8",24,"USES",4481,5146,0.665
"9",27,"USES",19492,20175,0.683
"10",29,"USES",9586,12047,2.461
"11",31,"USES",10889,12173,1.284
"12",33,"USES",17944,19098,1.154
"13",38,"USES",135907,136577,0.67
"14",41,"USES",1641,2270,0.629
"15",43,"USES",162363,163148,0.785
"16",46,"USES",35166,35743,0.577
"17",49,"USES",25871,26394,0.523
"18",51,"USES",19382,20070,0.688
"19",53,"USES",29648,30607,0.959
"20",55,"USES",33893,38195,4.302
"21",59,"USES",6539,7549,1.01
"22",61,"USES",445805,446676,0.871
"23",67,"USES",161458,162198,0.74
"24",69,"USES",81356,81874,0.518
"25",71,"USES",14457,15313,0.856
"26",73,"USES",7896,8527,0.631
"27",75,"USES",10402,11469,1.067
"28",77,"USES",11419,12173,0.754
"29",79,"USES",7525,8044,0.519
"30",81,"USES",513744,514213,0.469
"31",83,"USES",56443,57102,0.659
"32",86,"USES",21984,22584,0.6
"33",90,"USES",25875,26703,0.828
"34",92,"USES",96020,96675,0.655
"35",94,"USES",36153,37380,1.227
"36",97,"USES",11277,12393,1.116
"37",99,"USES",58719,61718,2.999
"38",103,"USES",15254,22191,6.937
"39",105,"USES",5025,10746,5.721
"40",107,"USES",40900,42315,1.415
"41",111,"USES",42789,43565,0.776
"42",115,"USES",51717,52907,1.19
"43",118,"USES",527103,528089,0.986
"44",120,"USES",280241,281421,1.18
"45",122,"USES",320751,321409,0.658
"46",124,"USES",221729,222573,0.844
"47",126,"USES",144674,145427,0.753
"48",128,"USES",11813,13501,1.688
"49",130,"USES",58346,58955,0.609
"50",133,"USES",75263,76072,0.809
"51",136,"USES",16187,16900,0.713
"52",138,"USES",5572,6068,0.496
"53",141,"USES",8519,9073,0.554
"54",143,"USES",74088,74792,0.704
"55",145,"USES",192876,193540,0.664
"56",147,"USES",86059,86815,0.756
"57",149,"USES",46341,48347,2.006
"58",151,"USES",7511,8703,1.192
"59",153,"USES",36007,36578,0.571
"60",156,"USES",170360,171605,1.245
"61",158,"USES",63822,64978,1.156
"62",160,"USES",28703,29412,0.709
"63",162,"USES",70399,72269,1.87
"64",164,"USES",15538,16274,0.736
"65",166,"USES",1988,3012,1.024
"66",168,"USES",38354,38966,0.612
"67",171,"USES",16966,17821,0.855
"68",175,"USES",40756,41641,0.885
"69",177,"USES",2849,4410,1.561
"70",181,"USES",8009,10353,2.344
"71",183,"USES",15582,16863,1.281
"72",185,"USES",26773,28150,1.377
"73",187,"USES",16724,17620,0.896
"74",190,"USES",3697456,3698408,0.952
"75",192,"USES",66660,67281,0.621
"76",194,"USES",111626,112229,0.603
"77",196,"USES",67798,68518,0.72
"78",198,"USES",57090,58054,0.964
"79",201,"USES",68884,69617,0.733
"80",203,"USES",73139,74050,0.911
"81",209,"USES",8816,9383,0.567
"82",211,"USES",219351,219897,0.546
"83",213,"USES",228420,228939,0.519
"84",216,"USES",91216,92374,1.158
"85",218,"USES",11012,11706,0.694
"86",220,"USES",3154,4137,0.983
"87",223,"USES",52589,53506,0.917
"88",225,"USES",37475,38059,0.584
"89",227,"USES",16230,17138,0.908
"90",229,"USES",47419,48134,0.715
"91",231,"USES",37511,38250,0.739
"92",233,"USES",33469,40223,6.754
"93",235,"USES",139795,140403,0.608
"94",237,"USES",3347,4338,0.991
"95",239,"USES",21078,21986,0.908
"96",241,"USES",4680,5734,1.054
"97",243,"USES",22014,22709,0.695
"98",245,"USES",41498,42241,0.743
"99",247,"USES",47842,48419,0.577
"100",249,"USES",18090,18504,0.414
"101",251,"USES",11720,12077,0.357
"102",253,"USES",6497,7967,1.47
"103",255,"USES",30253,32336,2.083
"104",257,"USES",286395,287075,0.68
"105",259,"USES",163048,163388,0.34
"106",261,"USES",394626,395422,0.796
"107",264,"USES",4901,6170,1.269
"108",271,"USES",4693,5306,0.613
"109",273,"USES",67723,68595,0.872
"110",275,"USES",26875,27254,0.379
"111",278,"USES",1750,2386,0.636
"112",287,"USES",3825,4409,0.584
"113",289,"USES",1937,2740,0.803
"114",291,"USES",33840,34341,0.501
"115",296,"USES",14781,16405,1.624
"116",299,"USES",20895,21439,0.544
"117",301,"USES",6602,7448,0.846
"118",305,"USES",35272,35729,0.457
"119",307,"USES",11186,12906,1.72
"120",309,"USES",292968,293530,0.562
"121",313,"USES",17559,18411,0.852
"122",315,"USES",77983,78531,0.548
"123",317,"USES",8863,9879,1.016
"124",319,"USES",5309,5872,0.563
"125",321,"USES",95446,95951,0.505
"126",323,"USES",12132,12639,0.507
"127",325,"USES",10727,11158,0.431
"128",327,"USES",51887,52483,0.596
"129",329,"USES",63772,64269,0.497
"130",331,"USES",23993,24540,0.547
"131",333,"USES",1396,2180,0.784
"132",335,"USES",104812,105240,0.428
"133",337,"USES",40245,40877,0.632
"134",340,"USES",72649,73325,0.676
"135",342,"USES",146019,146801,0.782
"136",344,"USES",72951,73411,0.46
"137",346,"USES",67226,67802,0.576
"138",350,"USES",2783,4505,1.722
"139",352,"USES",59860,60414,0.554
"140",354,"USES",38374,39012,0.638
"141",357,"USES",33922,35916,1.994
"142",359,"USES",446164,450324,4.16
"143",361,"USES",158089,158788,0.699
"144",363,"USES",8380,9553,1.173
"145",365,"USES",2726,4387,1.661
"146",378,"USES",18112,28790,10.678
"147",380,"USES",79742,80409,0.667
"148",382,"USES",8459,9150,0.691
"149",384,"USES",28711,30201,1.49
"150",387,"USES",8665,8907,0.242
"151",389,"USES",3689,4421,0.732
"152",392,"USES",4360,4892,0.532
"153",396,"USES",28893,29532,0.639
"154",398,"USES",3268,3732,0.464
"155",400,"USES",268578,270009,1.431
"156",402,"USES",15823,16583,0.76
"157",404,"USES",23795,25182,1.387
"158",411,"USES",8219,9055,0.836
"159",413,"USES",9556,10284,0.728
"160",415,"USES",61067,61819,0.752
"161",420,"USES",7847,9897,2.05
"162",422,"USES",160854,161728,0.874
"163",424,"USES",37719,40062,2.343
"164",426,"USES",17081,19010,1.929
"165",428,"USES",130574,131916,1.342
"166",431,"USES",7800,8357,0.557
"167",433,"USES",15775,16530,0.755
"168",435,"USES",112498,113322,0.824
"169",437,"USES",81814,82612,0.798
"170",439,"USES",24532,25382,0.85
"171",441,"USES",4105,6111,2.006
"172",444,"USES",66657,67281,0.624
"173",446,"USES",4925,5563,0.638
"174",449,"USES",5136,6509,1.373
"175",452,"USES",43382,43983,0.601
"176",455,"USES",11099,11877,0.778
"177",457,"USES",191333,192228,0.895
"178",459,"USES",285920,286467,0.547
"179",461,"USES",7095,7882,0.787
"180",463,"USES",11229,11963,0.734
"181",468,"USES",21322,24201,2.879
"182",471,"USES",44772,45436,0.664
"183",473,"USES",2739,4672,1.933
"184",475,"USES",9341,9950,0.609
"185",481,"USES",365716,366290,0.574
"186",483,"USES",24494,25222,0.728
"187",485,"USES",11105,13231,2.126
"188",487,"USES",11314,15250,3.936
"189",489,"USES",30937,32279,1.342
"190",491,"USES",8681,9478,0.797
"191",493,"USES",14419,15558,1.139
"192",495,"USES",31891,32628,0.737
"193",498,"USES",84653,85446,0.793
"194",500,"USES",208619,210298,1.679
"195",502,"USES",93483,93944,0.461
"196",504,"USES",83226,84116,0.89
"197",506,"USES",389690,390206,0.516
"198",508,"USES",50712,51870,1.158
"199",510,"USES",7428,8708,1.28
"200",512,"USES",30146,40711,10.565
"201",514,"USES",3073,4613,1.54
"202",517,"USES",12236,12929,0.693
"203",519,"USES",488896,491848,2.952
"204",521,"USES",104862,106312,1.45
"205",523,"USES",4760,5490,0.73
"206",526,"USES",19370,20374,1.004
"207",531,"USES",613756,614572,0.816
"208",534,"USES",30969,31842,0.873
"209",536,"USES",9869,11717,1.848
"210",538,"USES",16566,17322,0.756
"211",540,"USES",12062,12965,0.903
"212",542,"USES",10356,11143,0.787
"213",544,"USES",33238,33969,0.731
"214",546,"USES",47837,48893,1.056
"215",548,"USES",341196,341786,0.59
"216",551,"USES",202590,203064,0.474
"217",558,"USES",29256,29558,0.302
"218",562,"USES",43271,43985,0.714
"219",565,"USES",148920,149567,0.647
"220",567,"USES",6053,6588,0.535
"221",569,"USES",36521,37077,0.556
"222",575,"USES",15482,16227,0.745
"223",577,"USES",20512,21041,0.529
"224",579,"USES",28895,29669,0.774
"225",582,"USES",27633,28567,0.934
"226",584,"USES",8626,9243,0.617
"227",587,"USES",579324,579846,0.522
"228",589,"USES",8087,8516,0.429
"229",592,"USES",21982,22751,0.769
"230",596,"USES",10833,11634,0.801
"231",598,"USES",8694,9078,0.384
"232",600,"USES",25155,25768,0.613
"233",602,"USES",126928,127465,0.537
"234",604,"USES",27516,28185,0.669
"235",606,"USES",25980,26662,0.682
"236",609,"USES",148080,148653,0.573
"237",611,"USES",56529,57701,1.172
"238",613,"USES",16642,17339,0.697
"239",618,"USES",94079,94604,0.525
"240",620,"USES",41356,42029,0.673
"241",625,"USES",93415,93826,0.411
"242",627,"USES",260254,260896,0.642
"243",629,"USES",278584,279220,0.636
"244",631,"USES",18253,19029,0.776
"245",633,"USES",4917,12025,7.108
"246",643,"USES",5642,6331,0.689
"247",645,"USES",81707,82357,0.65
"248",647,"USES",162506,163238,0.732
"249",649,"USES",25586,25942,0.356
"250",651,"USES",81304,82036,0.732
"251",653,"USES",93986,94499,0.513
"252",655,"USES",200943,201512,0.569
"253",657,"USES",10328,10818,0.49
"254",659,"USES",4562,5052,0.49
"255",661,"USES",4463,4983,0.52
"256",663,"USES",89290,89997,0.707
"257",665,"USES",6872,7481,0.609
"258",667,"USES",9947,10489,0.542
"259",670,"USES",5286,5964,0.678
"260",672,"USES",64977,65947,0.97
"261",674,"USES",4282,8251,3.969
"262",679,"USES",10201,25684,15.483
"263",684,"USES",6015,6866,0.851
"264",686,"USES",4187,4974,0.787
"265",692,"USES",5052,5516,0.464
"266",694,"USES",2731,3228,0.497
"267",697,"USES",113996,115725,1.729
"268",699,"USES",122188,122923,0.735
"269",701,"USES",10447,11895,1.448
"270",708,"USES",122690,124829,2.139
"271",711,"USES",5795,6404,0.609
"272",713,"USES",40908,41566,0.658
"273",715,"USES",4424,5166,0.742
"274",717,"USES",5945,6358,0.413
"275",719,"USES",54113,54817,0.704
"276",721,"USES",230222,231262,1.04
"277",723,"USES",25348,26426,1.078
"278",725,"USES",45960,46445,0.485
"279",729,"USES",76731,77360,0.629
"280",731,"USES",62390,63018,0.628
"281",733,"USES",33881,34785,0.904
"282",736,"USES",136430,136932,0.502
"283",738,"USES",42604,43218,0.614
"284",740,"USES",24656,25130,0.474
"285",742,"USES",74418,74860,0.442
"286",744,"USES",25485,26101,0.616
"287",746,"USES",65595,66018,0.423
"288",748,"USES",120779,122870,2.091
"289",754,"USES",53774,54701,0.927
"290",758,"USES",20214,20907,0.693
"291",760,"USES",7937,8734,0.797
"292",763,"USES",42599,44503,1.904
"293",765,"USES",90339,91711,1.372
"294",769,"USES",151792,153441,1.649
"295",772,"USES",51102,51642,0.54
"296",774,"USES",43595,44309,0.714
"297",776,"USES",61922,62440,0.518
"298",778,"USES",3396,3904,0.508
"299",780,"USES",21920,22488,0.568
"300",782,"USES",99662,100309,0.647
"301",784,"USES",4170,6988,2.818
"302",788,"USES",7168,8546,1.378
"303",790,"USES",171523,173543,2.02
"304",793,"USES",154454,155013,0.559
"305",795,"USES",39993,40592,0.599
"306",797,"USES",3367,4047,0.68
"307",799,"USES",142250,147949,5.699
"308",803,"USES",43400,44506,1.106
"309",806,"USES",164071,166590,2.519
"310",808,"USES",437491,439574,2.083
"311",810,"USES",33821,35003,1.182
"312",812,"USES",37530,38298,0.768
"313",814,"USES",20812,21273,0.461
"314",816,"USES",96820,97636,0.816
"315",820,"USES",80133,85592,5.459
"316",823,"USES",31356,31925,0.569
"317",825,"USES",3591,4879,1.288
"318",827,"USES",8299,9941,1.642
"319",830,"USES",9069,10141,1.072
"320",833,"USES",65939,66591,0.652
"321",835,"USES",203417,213391,9.974
"322",837,"USES",8028,8581,0.553
"323",839,"USES",14407,14940,0.533
"324",841,"USES",67773,68390,0.617
"325",843,"USES",3258,3760,0.502
"326",845,"USES",28096,30661,2.565
"327",847,"USES",8672,9451,0.779
