"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"1",9340,"USES",50047,51420,1.373
"2",9342,"USES",80852,83030,2.178
"3",9344,"USES",34071,35377,1.306
"4",9346,"USES",67672,68583,0.911
"5",9348,"USES",23937,29763,5.826
"6",9350,"USES",26657,29314,2.657
"7",9352,"USES",29786,30666,0.88
"8",9355,"USES",16381,16897,0.516
"9",9357,"USES",12730,13570,0.84
"10",9359,"USES",19607,26120,6.513
"11",9361,"USES",43281,44134,0.853
"12",9363,"USES",2523,3128,0.605
"13",9365,"USES",10840,12025,1.185
"14",9368,"USES",95287,96022,0.735
"15",9370,"USES",8462,9416,0.954
"16",9372,"USES",138736,139335,0.599
"17",9375,"USES",27972,29309,1.337
"18",9379,"USES",154103,155505,1.402
"19",9381,"USES",22588,23373,0.785
"20",9383,"USES",3000,4055,1.055
"21",9386,"USES",5367,6264,0.897
"22",9388,"USES",123274,124279,1.005
"23",9391,"USES",3050,3662,0.612
"24",9393,"USES",30924,31957,1.033
"25",9395,"USES",37549,40151,2.602
"26",9397,"USES",14326,15690,1.364
"27",9399,"USES",32442,37372,4.93
"28",9405,"USES",56976,57580,0.604
"29",9407,"USES",46642,48254,1.612
"30",9411,"USES",36917,38756,1.839
"31",9414,"USES",74256,75031,0.775
"32",9416,"USES",9803,10810,1.007
"33",9418,"USES",17703,18408,0.705
"34",9420,"USES",20601,21719,1.118
"35",9422,"USES",8190,8859,0.669
"36",9424,"USES",5493,7088,1.595
"37",9431,"USES",25798,26440,0.642
"38",9433,"USES",165632,166273,0.641
"39",9436,"USES",135358,135893,0.535
"40",9438,"USES",82580,83772,1.192
"41",9440,"USES",6239,7032,0.793
"42",9443,"USES",82505,83231,0.726
"43",9445,"USES",2146,2980,0.834
"44",9450,"USES",60566,61426,0.86
"45",9452,"USES",106471,107288,0.817
"46",9454,"USES",21960,22598,0.638
"47",9456,"USES",4175,5412,1.237
"48",9458,"USES",16046,16772,0.726
"49",9460,"USES",44036,44916,0.88
"50",9462,"USES",33274,34495,1.221
"51",9464,"USES",37694,38173,0.479
"52",9466,"USES",32451,33072,0.621
"53",9469,"USES",86072,87573,1.501
"54",9471,"USES",9312,10312,1
"55",9473,"USES",112727,127197,14.47
"56",9475,"USES",8462,9800,1.338
"57",9477,"USES",19705,22105,2.4
"58",9479,"USES",20997,23570,2.573
"59",9481,"USES",18193,19295,1.102
"60",9483,"USES",38942,40063,1.121
"61",9486,"USES",4126,5325,1.199
"62",9488,"USES",12251,13775,1.524
"63",9490,"USES",2432,3380,0.948
"64",9492,"USES",68401,69441,1.04
"65",9494,"USES",80978,82328,1.35
"66",9496,"USES",25574,27133,1.559
"67",9500,"USES",9677,11427,1.75
"68",9502,"USES",22344,24092,1.748
"69",9504,"USES",112570,113958,1.388
"70",9506,"USES",37413,38493,1.08
"71",9508,"USES",17137,18670,1.533
"72",9510,"USES",87879,88741,0.862
"73",9512,"USES",74328,75399,1.071
"74",9514,"USES",7573,8940,1.367
"75",9517,"USES",3478,6631,3.153
"76",9520,"USES",169058,170605,1.547
"77",9522,"USES",23363,24899,1.536
"78",9524,"USES",14058,16219,2.161
"79",9526,"USES",4089,5157,1.068
"80",9528,"USES",5972,12330,6.358
"81",9530,"USES",58593,59870,1.277
"82",9532,"USES",16120,17724,1.604
"83",9534,"USES",95768,96901,1.133
"84",9536,"USES",102341,103607,1.266
"85",9538,"USES",187241,188651,1.41
"86",9540,"USES",334146,335297,1.151
"87",9542,"USES",166067,167273,1.206
"88",9544,"USES",177575,178577,1.002
"89",9546,"USES",18432,19251,0.819
"90",9548,"USES",23521,24404,0.883
"91",9550,"USES",42130,42845,0.715
